"RUA";"BAIRRO";"CIDADE";"CEP";"LATITUDE";"LONGITUDE"
" Rua dos Campos";" Jardim da Mata";" Americana/SP";"13476-404";-22.749792;-47.244107
" Rua Ozório Leite de Camargo";" Jardim da Mata";" Americana/SP";"13476-440";-22.747337;-47.24421
" Rua do Pantanal";" Jardim da Mata";" Americana/SP";"13476-416";-22.748134;-47.24421
" Rua Antônio Mancini";" Jardim da Mata";" Americana/SP";"13476-412";-22.748733;-47.244277
" Rua Antônio Menegatti";" Parque Dom Pedro II";" Americana/SP";"13476-632";-22.747534;-47.244277
" Rua Manoel Gregório de Oliveira";" Jardim Santo Antônio";" Americana/SP";"13476-603";-22.746101;-47.244355
" Rua Gabriel Gabor Radics";" Parque Dom Pedro II";" Americana/SP";"13476-610";-22.744461;-47.244359
" Rua do Bosque";" Jardim da Mata";" Americana/SP";"13476-408";-22.750134;-47.244887
" Rua dos Florais";" Jardim da Mata";" Americana/SP";"13476-406";-22.749932;-47.244887
" Rua da Floresta";" Jardim da Mata";" Americana/SP";"13476-428";-22.7493;-47.245029
" Rua Manoel Gregório de Oliveira";" Jardim da Mata";" Americana/SP";"13476-444";-22.746294;-47.245109
" Rua Valério José do Nascimento";" Jardim Santo Antônio";" Americana/SP";"13476-605";-22.745539;-47.245498
" Rua do Cerrado";" Jardim da Mata";" Americana/SP";"13476-426";-22.750437;-47.245829
" Rua Severino Simonette";" Jardim Santo Antônio";" Americana/SP";"13476-604";-22.745746;-47.245843
" Rua Ozório Leite de Camargo";" Jardim Santo Antônio";" Americana/SP";"13476-600";-22.746939;-47.246108
" Rua da Savana";" Jardim da Mata";" Americana/SP";"13476-422";-22.750303;-47.246234
" Rua Floresta Amazônica";" Jardim da Mata";" Americana/SP";"13476-420";-22.750253;-47.246268
" Rua Mata Atlântica";" Jardim da Mata";" Americana/SP";"13476-424";-22.750739;-47.246306
" Rua dos Pinhais";" Jardim da Mata";" Americana/SP";"13476-430";-22.74846;-47.246512
" Rua Albatroz";" Residencial Jardim Barra do Cisne I";" Americana/SP";"13475-821";-22.734498;-47.246703
" Rua Cegonha";" Residencial Jardim Barra do Cisne I";" Americana/SP";"13475-822";-22.734498;-47.246703
" Rua Corrupião";" Residencial Jardim Barra do Cisne I";" Americana/SP";"13475-828";-22.734498;-47.246703
" Rua Flamingo";" Residencial Jardim Barra do Cisne I";" Americana/SP";"13475-826";-22.734498;-47.246703
" Rua Fragata";" Residencial Jardim Barra do Cisne I";" Americana/SP";"13475-825";-22.734498;-47.246703
" Rua Manguezal";" Jardim da Mata";" Americana/SP";"13476-434";-22.748514;-47.246943
" Rua Attílio Gottardi";" Jardim da Mata";" Americana/SP";"13476-438";-22.746641;-47.246959
" Rua dos Cocais";" Jardim da Mata";" Americana/SP";"13476-436";-22.748049;-47.246974
" Rua Maranhão";" Bairro da Lagoa";" Americana/SP";"13479-301";-22.746247;-47.247821
" Rua Maranhão";" São Benedito";" Americana/SP";"13476-689";-22.746247;-47.247821
" Rua Gaivota";" Residencial Jardim Barra do Cisne I";" Americana/SP";"13475-827";-22.736547;-47.24799
" Rua Honorato José de Oliveira";" Fazenda Santa Lúcia";" Americana/SP";"13476-204";-22.743215;-47.249779
" Rua Jair de Andrade Silva";" Fazenda Santa Lúcia";" Americana/SP";"13476-201";-22.744404;-47.250289
" Rua João Antônio de Carvalho";" Chácara Machado";" Americana/SP";"13476-152";-22.744751;-47.250381
" Rua Humberto Menghini";" Remanso Azul";" Americana/SP";"13476-550";-22.748965;-47.250602
" Rua Joaquim Angelo do Nascimento";" Remanso Azul";" Americana/SP";"13476-552";-22.751265;-47.251381
" Rua Américo da Costa Paulo";" Remanso Azul";" Americana/SP";"13476-557";-22.751577;-47.251666
" Rua F";" Loteamento Residencial Industrial João Santarosa";" Americana/SP";"13477-303";-22.737656;-47.251773
" Rua Maranhão";" Remanso Azul";" Americana/SP";"13476-559";-22.749131;-47.252126
" Rua Guerino Angelo Gaiolla";" Remanso Azul";" Americana/SP";"13476-554";-22.750151;-47.252213
" Rua Frederico Carlos Berggren";" Remanso Azul";" Americana/SP";"13476-553";-22.750117;-47.25244
" Rua H";" Loteamento Residencial Industrial João Santarosa";" Americana/SP";"13477-301";-22.738304;-47.252522
" Avenida Marginal Três";" Remanso Azul";" Americana/SP";"13476-558";-22.750342;-47.25257
" Estrada Alvim Biasi";" Fazenda Santa Lúcia";" Americana/SP";"13475-680";-22.730816;-47.252665
" Rua Maranhão";" Balneário Salto Grande";" Americana/SP";"13476-735";-22.749757;-47.253026
" Rua Izadora Melina";" Jardim Santa Lúcia";" Americana/SP";"13475-763";-22.732232;-47.253052
" Rua Domingos Bertie";" Remanso Azul";" Americana/SP";"13476-551";-22.750553;-47.253434
" Rua João Bernardes Nogueira";" São José";" Americana/SP";"13476-101";-22.749981;-47.253608
" Rua Antônio de Campos Machado";" Jardim da Mata";" Americana/SP";"13476-442";-22.747786;-47.253997
" Rua Maximiliano Giordano";" São José";" Americana/SP";"13476-102";-22.749808;-47.254358
" Rua Antônio Milani";" São José";" Americana/SP";"13476-105";-22.747602;-47.254372
" Rua Antônio de Campos Machado";" Parque Dom Pedro II";" Americana/SP";"13476-623";-22.747798;-47.254393
" Rua Coruja";" Residencial Jardim Barra do Cisne I";" Americana/SP";"13475-823";-22.734498;-47.254428
" Rua Moco";" Residencial Jardim Barra do Cisne I";" Americana/SP";"13475-824";-22.734498;-47.254428
" Avenida Heitor Siqueira";" São José";" Americana/SP";"13476-110";-22.747018;-47.254529
" Rua João Damázio Gomes";" São José";" Americana/SP";"13476-103";-22.748785;-47.254587
" Rua Valentim Menegatti";" São José";" Americana/SP";"13476-100";-22.748759;-47.254655
" Rua Achiles Zanaga Camargo Neves";" Residencial Santa Paula";" Americana/SP";"13475-755";-22.729148;-47.254704
" Rua Achiles Zanaga Camargo Neves";" Jardim Santa Lúcia";" Americana/SP";"13475-767";-22.729603;-47.254801
" Rua Agostinho Turrão";" São José";" Americana/SP";"13476-104";-22.748446;-47.255078
" Caminho Servidão";" Residencial Santa Paula";" Americana/SP";"13475-751";-22.727756;-47.256611
" Rua Maranhão";" Jardim Santo Antônio";" Americana/SP";"13476-606";-22.744241;-47.257031
" Rua Maranhão";" Olho DÁgua";" Americana/SP";"13476-811";-22.736899;-47.257182
" Rua Irmã Dorothy Mae Stang";" Loteamento Residencial de Interesse Social Vila Nova Esperança - ASTA 4";" Americana/SP";"13476-562";-22.751011;-47.25758
" Rua Maria Dalva de Araújo";" Parque Residencial Tancredi";" Americana/SP";"13475-745";-22.728865;-47.2577
" Rua Luiz Pinese";" Jardim América";" Americana/SP";"13476-054";-22.7494;-47.257769
" Caminho de Servidão";" Chácara Lucília";" Americana/SP";"13475-421";-22.744436;-47.257976
" Rua Luiz Fugolin";" São Sebastião";" Americana/SP";"13476-030";-22.751795;-47.258125
" Rua Luiz Bianco";" Jardim América";" Americana/SP";"13476-062";-22.747439;-47.258496
" Rua Márcia Roli Tancredi";" Parque Residencial Tancredi";" Americana/SP";"13475-744";-22.729567;-47.25852
" Estrada Praia Azul";" São Sebastião";" Americana/SP";"13476-010";-22.753926;-47.258558
" Rua Luiz Fornaziero";" Jardim América";" Americana/SP";"13476-063";-22.747504;-47.258802
" Caminho da Servidão";" São Sebastião";" Americana/SP";"13476-031";-22.747568;-47.258928
" Rua Teotônio Américo de Oliveira";" Jardim América";" Americana/SP";"13476-060";-22.747806;-47.258975
" Avenida Américo Schneider";" Praia Azul";" Americana/SP";"13475-800";-22.728515;-47.259335
" Avenida Chalil Miguel Onsi";" São Sebastião";" Americana/SP";"13476-040";-22.750764;-47.259447
" Rua Antenor Polido";" Parque Residencial Tancredi";" Americana/SP";"13475-741";-22.73003;-47.259532
" Rua Pedro Stefanini";" Remanso Azul";" Americana/SP";"13476-555";-22.750167;-47.259598
